,Name,P.CH3 (wt%),P.CH2 (wt%),P.CH (wt%),Olef (wt%),Naph (wt%),Arom (wt%),OH (wt%),O (wt%),Mol Wt,B.I,DCN
0,n-butane,51.72,48.28,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,20.6
1,n-pentane,41.6666666666667,58.3333333333333,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,39.4
2,n-hexane,34.8837209302326,65.1162790697674,0.0,0.0,0.0,0.0,0.0,0.0,86.0,0.0,50.0
3,n-heptane,30.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,53.8
4,n-octane,26.3157894736842,73.6842105263158,0.0,0.0,0.0,0.0,0.0,0.0,114.0,0.0,58.2
5,n-nonane,23.4375,76.5625,0.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,60.9
6,n-decane,21.1267605633803,78.8732394366197,0.0,0.0,0.0,0.0,0.0,0.0,142.0,0.0,65.5
7,n-dodecane,17.6470588235294,82.3529411764706,0.0,0.0,0.0,0.0,0.0,0.0,170.0,0.0,72.9
8,n-tetradecane,15.1515151515152,84.8484848484848,0.0,0.0,0.0,0.0,0.0,0.0,198.0,0.0,85.1
9,n-hexadecane,13.2743362831858,86.7256637168142,0.0,0.0,0.0,0.0,0.0,0.0,226.0,0.0,100.5
10,2-methylbutane,62.5,19.4,18.1,0.0,0.0,0.0,0.0,0.0,72.0,0.25,24.0
11,2-methylpentane,52.3255813953488,32.5581395348837,15.1162790697674,0.0,0.0,0.0,0.0,0.0,86.0,0.2,34.5
12,3-methylpentane,52.3255813953488,32.5581395348837,15.1162790697674,0.0,0.0,0.0,0.0,0.0,86.0,0.3,31.4
13,"2,2-dimethylbutane",69.76,16.2790697674419,0.0,0.0,0.0,0.0,0.0,0.0,86.0,0.5,24.4
14,2-methylhexane,45.0,42.0,13.0,0.0,0.0,0.0,0.0,0.0,100.0,0.167,43.5
15,3-methylhexane,45.0,42.0,13.0,0.0,0.0,0.0,0.0,0.0,100.0,0.25,32.0
16,3-ethylpentane,45.0,42.0,13.0,0.0,0.0,0.0,0.0,0.0,100.0,0.5,34.1
17,"2,4-dimethylpentane",60.0,14.0,26.0,0.0,0.0,0.0,0.0,0.0,100.0,0.4,28.7
18,"2,3-dimethylpentane",60.0,14.0,26.0,0.0,0.0,0.0,0.0,0.0,100.0,0.5,22.0
19,"2,2,3-trimethylbutane",75.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,100.0,0.75,12.9
20,2-methylheptane,39.4736842105263,49.1228070175439,11.4035087719298,0.0,0.0,0.0,0.0,0.0,114.0,0.14,52.6
21,3-methylheptane,39.4736842105263,49.1228070175439,11.4035087719298,0.0,0.0,0.0,0.0,0.0,114.0,0.21,45.0
22,"2,2,4-trimethylpentane",65.789,12.280701754386,11.4035087719298,0.0,0.0,0.0,0.0,0.0,114.0,0.6,17.4
23,"2,6-dimethyloctane",42.25,39.43,18.31,0.0,0.0,0.0,0.0,0.0,142.0,0.31,51.7
24,"2,6,10-trimethyldodecane",35.37,46.22,18.39,0.0,0.0,0.0,0.0,0.0,212.0,0.458,58.0
25,"2,6,10-trimethyltridecane",33.18,49.55,17.25,0.0,0.0,0.0,0.0,0.0,226.0,0.461,60.8
26,"2,2,4,4,6,8,8-heptamethylnonane",59.7345132743363,18.5840707964602,5.75221238938053,0.0,0.0,0.0,0.0,0.0,226.0,1.11,15.1
27,2-methylheptadecane,17.7165354330709,77.1653543307087,5.11811023622047,0.0,0.0,0.0,0.0,0.0,254.0,0.058,91.0
28,2-methyloctadecane,16.7910447761194,78.3582089552239,4.85074626865672,0.0,0.0,0.0,0.0,0.0,268.0,0.055,104.4
29,"2-methyl-1,3-butadiene",22.1,0.0,0.0,77.9,0.0,0.0,0.0,0.0,68.0,0.25,13.0
30,1-hexene,17.8571428571429,50.0,0.0,32.1428571428571,0.0,0.0,0.0,0.0,84.0,0.0,29.0
31,1-heptene,15.3061224489796,57.1428571428571,0.0,27.5510204081633,0.0,0.0,0.0,0.0,98.0,0.0,32.0
32,"2,5-dimethyl-2,4-hexadiene",54.54,0.0,0.0,45.45,0.0,0.0,0.0,0.0,110.0,0.33,19.9
33,1-octene,13.3928571428571,62.5,0.0,24.1071428571429,0.0,0.0,0.0,0.0,112.0,0.0,40.0
34,3-octene,26.78,50.0,0.0,23.22,0.0,0.0,0.0,0.0,112.0,0.0,36.0
35,"2,4,4-trimethyl-1-pentene",53.57,12.5,0.0,23.21,0.0,0.0,0.0,0.0,112.0,0.6,8.8
36,1-nonene,11.9,66.66,0.0,21.42,0.0,0.0,0.0,0.0,126.0,0.0,51.0
37,1-decene,10.71,70.0,0.0,19.28,0.0,0.0,0.0,0.0,140.0,0.0,49.1
38,"1,9-decadiene",0.0,60.86,0.0,39.14,0.0,0.0,0.0,0.0,138.0,0.0,41.0
39,1-dodecene,8.92857142857143,75.0,0.0,16.0714285714286,0.0,0.0,0.0,0.0,168.0,0.0,56.8
40,1-hexadecene,6.69642857142857,81.25,0.0,12.0535714285714,0.0,0.0,0.0,0.0,224.0,0.0,75.9
41,Cyclopentane,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,70.0,0.5,6.1
42,Methylcyclopentane,17.8571428571429,0.0,0.0,0.0,82.1428571428571,0.0,0.0,0.0,84.0,0.5,17.2
43,Cyclohexane,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,84.0,0.5,19.9
44,Cyclohexene,0.0,0.0,0.0,26.0,74.0,0.0,0.0,0.0,82.0,0.5,18.1
45,Methylcyclohexane,15.3061224489796,0.0,0.0,0.0,84.6938775510204,0.0,0.0,0.0,98.0,0.5,23.5
46,"1,2-dimethylcyclohexane",26.8,0.0,0.0,0.0,73.2,0.0,0.0,0.0,112.0,0.5,24.0
